System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 23:59:27.9792209
System,Displayed guest menu,2022-05-29 23:59:27.9952176
User id: 1f99f5a7-20e6-40ac-a893-db3fc9695dee,Logged in,2022-05-29 23:59:47.3336778
System,Displayed driver menu,2022-05-29 23:59:47.3336778
System,Menu initialized,2022-05-30 00:02:03.9985183
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-30 00:02:04.0065116
System,Displayed guest menu,2022-05-30 00:02:04.0305103
User id: 1f99f5a7-20e6-40ac-a893-db3fc9695dee,Logged in,2022-05-30 00:02:16.4621514
System,Displayed driver menu,2022-05-30 00:02:16.4621514
System,Displayed driver menu,2022-05-30 00:02:27.3429553
System,Menu initialized,2022-05-30 00:09:33.9421935
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-30 00:09:33.9581911
System,Displayed guest menu,2022-05-30 00:09:33.990188
User id: 1f99f5a7-20e6-40ac-a893-db3fc9695dee,Logged in,2022-05-30 00:09:45.345908
System,Displayed driver menu,2022-05-30 00:09:45.345908
System,Displayed driver menu,2022-05-30 00:09:59.8272002
System,Displayed driver menu,2022-05-30 00:10:33.818308
System,Displayed guest menu,2022-05-30 00:10:45.196186
System,Menu initialized,2022-05-30 06:50:35.1188474
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-30 06:50:35.1428318
System,Displayed guest menu,2022-05-30 06:50:35.1508395
User id: 4bfbd7a4-f335-4989-91b7-491e7e7ffa3d,Logged in,2022-05-30 06:51:34.7717162
System,Displayed normal-user menu,2022-05-30 06:51:34.7717162
System,Displayed normal-user menu,2022-05-30 06:51:49.8375124
System,Displayed normal-user menu,2022-05-30 06:52:23.8402218
System,Menu initialized,2022-05-30 06:58:57.3921432
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-30 06:58:57.4160985
System,Displayed guest menu,2022-05-30 06:58:57.4241066
User id: 4bfbd7a4-f335-4989-91b7-491e7e7ffa3d,Logged in,2022-05-30 06:59:09.1466014
System,Displayed normal-user menu,2022-05-30 06:59:09.1466014
System,Displayed normal-user menu,2022-05-30 06:59:30.8007859
System,Displayed normal-user menu,2022-05-30 07:00:02.036203
System,Displayed normal-user menu,2022-05-30 07:00:28.4720308
