System,Menu initialized,2022-05-04 17:02:49.6796566
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-04 17:02:49.701827
System,Displayed guest menu,2022-05-04 17:02:49.7174528
System,Displayed guest menu,2022-05-04 17:02:55.8070018
System,Menu initialized,2022-05-04 17:16:35.1270698
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-04 17:16:35.1583003
System,Displayed guest menu,2022-05-04 17:16:35.1739293
User id: 4bfbd7a4-f335-4989-91b7-491e7e7ffa3d,Logged in,2022-05-04 17:16:47.8666212
System,Displayed normal-user menu,2022-05-04 17:16:47.8666212
User id: 4bfbd7a4-f335-4989-91b7-491e7e7ffa3d,Logged off,2022-05-04 17:16:49.6028605
System,Displayed guest menu,2022-05-04 17:16:49.6028605
User id: 4bfbd7a4-f335-4989-91b7-491e7e7ffa3d,Logged in,2022-05-04 17:16:59.8287311
System,Displayed normal-user menu,2022-05-04 17:16:59.8287311
User id: 4bfbd7a4-f335-4989-91b7-491e7e7ffa3d,Logged off,2022-05-04 17:17:01.164015
System,Displayed guest menu,2022-05-04 17:17:01.164015
System,Menu initialized,2022-05-04 17:17:13.1718218
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-04 17:17:13.2186847
System,Displayed guest menu,2022-05-04 17:17:13.2343131
System,Menu initialized,2022-05-29 16:18:55.223147
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 16:18:55.2471453
System,Displayed guest menu,2022-05-29 16:18:55.2591341
System,Menu initialized,2022-05-29 18:02:56.3311968
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 18:02:56.347199
System,Displayed guest menu,2022-05-29 18:02:56.3552035
System,Menu initialized,2022-05-29 18:19:24.0120536
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 18:19:24.0200602
System,Displayed guest menu,2022-05-29 18:19:24.0280488
System,Menu initialized,2022-05-29 18:20:01.0744896
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 18:20:01.0904886
System,Displayed guest menu,2022-05-29 18:20:01.0984948
System,Menu initialized,2022-05-29 19:00:54.6416067
